Ticker,Name,address,latitude,longitude,Price,Climate Chg Pol:Y,Equal Opp Pol:Y,Water Policy,Human Rights Pol:Y,Energy Effic Pol:Y,Bus Ethics Pol:Y,Biodiv Pol:Y,Registered State Location,Product/Geographic Revenue,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Use:Y,Tot Wtr Dschgd:Y,Wste Sent to Ldflls:Y,Waste Recycl:Y ,Total Waste:Y,Energy Consump:Y ,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y
ADSK UW Equity,Autodesk Inc,"Redwood City, California",37.4852152,-122.2363548,56.39,1,1,1,1,1,1,0,0,0,2504100032,US0527691069,Technology,Software & Computer Services,US,0,,,0.088,0.035,12.63099957,37.83000183,,1.679999948,
AEE UN Equity,ADT Corp/The,"Redwood City, California",37.4852152,-122.2363548,41.39,0,1,0,1,1,1,0,0,0,3587000000,US00101J1060,Industrials,Support Services,US,0,,,,72.56240082,,,,,
AEP UN Equity,Ameren Corp,"Bethesda, Maryland",38.98130835,-77.12333453,49.16,1,0,0,0,1,1,1,0,0,6097999872,US0236081024,Utilities,"Gas, Water & Multiutilities",US,0,14508300,4264890,,17.03389931,2960.908447,,1437.540039,91.47899628,210.8000031
AES UN Equity,American Electric Power Co Inc,"The Woodlands, Texas",30.1734194,-95.504686,65.5,1,1,0,1,1,1,1,0,0,16696999936,US0255371017,Utilities,Electricity,US,0,,9742460,,2890.337891,7507.371094,,,0,30.11199951
AET UN Equity,AES Corp/VA,"Houston, Texas",29.7589382,-95.3676974,10.86,0,0,0,1,0,1,1,0,0,14962999808,US00130H1059,Utilities,Electricity,US,0,,6219280,,,,,6.065999985,576,34185.30078
AFL UN Equity,Aetna Inc,"Glenview, Illinois",42.0700662,-87.8114044,110.28,0,1,1,0,1,1,0,0,0,60336499712,US00817Y1082,Health Care,Health Care Equipment & Services,US,0,,,,,,,,62.98500061,
AGN UN Equity,Aflac Inc,"Chesterbrook, Pennsylvania",40.07264,-75.45624788,63,0,1,0,0,1,1,0,0,0,20872000000,US0010551028,Financials,Life Insurance,US,0,,,,,,,,26.43099976,
AIG UN Equity,Allergan plc,"Sarasota, Florida",27.3364347,-82.5306527,241,0,1,0,0,0,1,0,0,0,18275599872,IE00BY9D5467,Health Care,Pharmaceuticals & Biotechnology,IE,0,,,,,,,,66.78099823,12.76399994
AIV UN Equity,American International Group Inc,"San Francisco, California",37.76262625,-122.458515,53.11,1,1,0,1,1,1,0,0,0,58327000064,US0268747849,Financials,Nonlife Insurance,US,0,,,,,,,,,
AIZ UN Equity,Apartment Investment & Management Co,"Woburn, Massachusetts",43.1561681,-75.8449946,41.87,0,1,0,0,0,1,0,0,0,981310016,US03748R1014,Financials,Real Estate Investment Trusts,US,0,,,,,,,,,31.56100082
AKAM UW Equity,Assurant Inc,"Houston, Texas",29.7589382,-95.3676974,77.09,0,1,1,0,1,1,0,0,0,10325494016,US04621X1081,Financials,Life Insurance,US,0,,,,0.49000001,0.49000001,317.5809937,,,2.711999893
ALL UN Equity,Akamai Technologies Inc,"Armonk, New York",41.1264849,-73.7140195,53.28,1,1,0,0,1,1,0,0,0,2197448000,US00971T1016,Technology,Software & Computer Services,US,0,277.9840088,,,3.090199947,1.041000009,466.6820068,5054.839844,86.53199768,109.3158035
ALLE UN Equity,Allstate Corp/The,"Chicago, Illinois",41.86898915,-87.64856246,66.28,1,1,1,0,1,1,0,0,0,35653000192,US0200021014,Financials,Nonlife Insurance,US,0,,,,,,,,117.0189972,30
ALXN UW Equity,Allegion PLC,"Norwalk, Connecticut",37.3361905,-121.8905833,63.97,,,0,,,,,0,0,2068099968,IE00BFRT3W74,Industrials,Electronic & Electrical Equipment,IE,0,,,,,,,,,0
AMAT UW Equity,Alexion Pharmaceuticals Inc,"Bentonville, Arkansas",42.1711365,-87.8445119,148.03,0,1,0,1,0,1,0,0,0,2604046976,US0153511094,Health Care,Pharmaceuticals & Biotechnology,US,0,566.8040161,,,7.276000023,12.0539999,512.2000122,,,
AME UN Equity,Applied Materials Inc,"Irving, Texas",32.8629195,-96.97917017,20.8,0,1,0,1,1,1,0,0,0,9556999680,US0382221051,Technology,Technology Hardware & Equipment,US,0,,,4.320000172,,,,,143.095993,
AMG UN Equity,AMETEK Inc,"San Francisco, California",37.76262625,-122.458515,49.03,0,1,0,0,0,1,0,0,0,3974294976,US0311001004,Industrials,Electronic & Electrical Equipment,US,0,,,,,,,138,,910
AMGN UW Equity,Affiliated Managers Group Inc,"Dallas, Texas",41.8239891,-71.4128343,156,0,0,0,0,0,1,0,0,0,2484500032,US0082521081,Financials,Financial Services,US,0,3012,,,3.694000006,12.65100002,1029.439941,22.27000046,,10855.55664
AMP UN Equity,Amgen Inc,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861,157.38,0,1,1,0,1,1,0,0,0,21661999616,US0311621009,Health Care,Pharmaceuticals & Biotechnology,US,2487,,1551,2.792999983,,,,,258,
AMT UN Equity,Ameriprise Financial Inc,"Kansas City, Missouri",39.0844687,-94.5630298,91.04,0,1,0,0,0,1,0,0,0,12200000000,US03076C1062,Financials,Financial Services,US,0,,,,,,,,,
AMZN UW Equity,American Tower Corp,"Lake Forest, Illinois",42.291707,-85.5872286,105,0,1,0,0,1,1,0,0,0,4771516032,US03027X1000,Financials,Real Estate Investment Trusts,US,0,,,,,,,,,7.90899992
AN UN Equity,Amazon.com Inc,"Atlanta, Georgia",37.3943302,-122.0757135,591.43,1,1,0,0,1,1,0,0,0,1.07E+11,US0231351067,Consumer Services,General Retailers,US,0,,,,,,,,,
ANTM UN Equity,AutoNation Inc,"Menlo Park, California",37.4538274,-122.1821871,45.12,0,1,0,0,0,1,0,0,0,20862000128,US05329W1027,Consumer Services,General Retailers,US,0,,,,7.900000095,13.16670036,,,,
